latitude,longtitude,freq,road1,road2,road1lane,road2lane,find_the_location,type,ID_Num
40.861862,-73.91282,478,West Fordham Road,Major Deegan Expressway,3,3,"University Heights, Bronx, NY",expressway,1
40.8571285,-73.8807926,319,East Fordham Road,Sourthern Boulevard,3,3,"Bronx Zoo, Southern Boulevard, Bronx, NY",expressway,2
40.820305,-73.89083,429,Hunts Point Avenue,Bruckner Boulevard,2,4,"Hunts Point Avenue & Southern Boulevard, Bronx, NY",expressway,3
40.820189,-73.8906752,334,Hunts Point Avenue,Bruckner Expressway,2,2,"East Fordham Road & Southern Boulevard, Bronx, NY",expressway,4
40.816864,-73.882744,405,Edgewater Road,,2,,Hunts Point Produce Market,market parking,5
40.8100528,-73.9251435,329,East 138th Street,Alexander Avenue,2,2,"St. Jerome Roman Catholic Church, Alexander Avenue, Bronx, NY",intersection,6
40.7832478,-73.9447234,313,East 96th Street,1st Avenue,4,4,"Stanley Isaacs Playground, FDR Drive, New York, NY",intersection,7
40.7615508,-73.9665842,311,East 59th Street,3rd Avenue,3,6,"E 59 St/3 Av, New York, NY",intersection,8
40.7602226,-73.967462,353,East 57th Street,3rd Avenue,3,6,"Duane Reade, 3rd Avenue, New York, NY",intersection,9
40.759308,-73.9652931,332,East 57th Street,2nd Avenue,3,5,"East 57th Street & 2nd Avenue, New York, NY",intersection,10
40.7606,-73.96434,320,East 59th Street,2nd Avenue,3,4,"Tramway Plaza, East 60th Street, New York, NY",intersection,11
40.7606005,-73.9643142,472,Ed Koch Queensboro Bridge Lower Roadway,2nd Avenue,2,4,"Tramway Plaza, East 60th Street, New York, NY",intersection,12
40.759514,-73.99926,339,West 40th Street,11th Avenue,2,3,"NY-495, New York, NY",intersection,13
40.7595273,-73.999242,334,West 40th Street,11th Avenue,2,3,"NY-495, New York, NY",intersection,14
40.75898,-73.99595,351,West 41st Street,10th Avenue,2,6,"Sts. Cyril & Methodius & St. Raphael's Catholic Church Croatian Parish, West 41st Street, New York, NY",intersection,15
40.7584292,-73.9926328,350,West 42nd Street,9th Avenue,2,4,"At Nine Restaurant & Bar, 9th Avenue, New York, NY",intersection,16
40.7572323,-73.9897922,455,West 42nd Street,8th Avenue,3,4,"Microsoft Technology Center, Times Square, New York, NY",intersection,17
40.7560353,-73.9869481,317,West 42nd Street,7th Avenue,3,5,"200 West 42nd Street, New York, NY",intersection,18
40.7509908,-73.9906233,347,West 34th Street,7th Avenue,2,5,34th Street Penn Station,intersection,19
40.7460781,-73.9749359,322,East 36th Street,2nd Avenue,4,6,"Royal Tuina, East 36th Street, New York, NY",intersection,20
40.7241363,-73.9926041,324,East Houston Street,Bowery,4,3,"310 Bowery Bar, Bowery, New York, NY",intersection,21
40.7203211,-73.9940403,368,Delancey Street,Bowery,2,3,"Bowery & Kenmare Street, New York, NY",intersection,22
40.733536,-73.87035,364,Queens Boulevard,Woodhaven Boulevard,4,5,"Hoffman Drive & Woodhaven Boulevard, Queens, NY",intersection,23
40.7334973,-73.8703694,354,Queens Boulevard,Woodhaven Boulevard,3,4,"Hoffman Drive & Woodhaven Boulevard, Queens, NY",intersection,24
40.696033,-73.98453,514,Tillary Street,Flatbush Avenue Extension,5,4,"The Tillary Hotel, Flatbush Avenue Extension, Brooklyn, NY",intersection,25
40.6960346,-73.9845292,585,Tillary Street,Flatbush Avenue Extension,4,4,"The Tillary Hotel, Flatbush Avenue Extension, Brooklyn, NY",intersection,26
40.6757357,-73.8968533,433,Atlantic Avenue,Pennsylvania Avenue,5,3,"Atlantic Avenue & Pennsylvania Avenue, Brooklyn, NY",intersection,27
40.6585778,-73.8906229,417,Linden Boulevard,Pennsylvania Avenue,5,4,"Bethlehem Baptist Church, Linden Boulevard, Brooklyn, NY",intersection,28
40.6528929,-73.8667311,311,Gateway Drive,Erskine Street,4,4,"Spring Creek Park, Belt Parkway, Howard Beach, NY",intersection,29
40.65616,-73.76736,311,Rockaway Boulevard,North Boundary Road,4,2,"150th Road, Springfield Gardens, NY",intersection,30
40.86186,-73.9137392,275,West Fordham Road,Major Deegan Expressway,3,2,"University Heights, Bronx, NY",intersection,31
40.8137456,-73.9313928,263,East 138th Street,Exterior Street,4,2,"Madison Avenue Bridge, New York, NY",intersection,32
40.8027515,-73.933575,287,East 125th Street,2nd Avenue,3,6,"East 125th Street & 2nd Avenue, New York, NY",intersection,33
40.7631141,-73.9625151,271,East 63rd Street,2nd Avenue,3,5,"2 Av/E 64 St, New York, NY",intersection,34
40.7643229,-73.977196,269,West 57th Street,6th Avenue,3,5,"West 57th Street & 6th Avenue, New York, NY",intersection,35
40.762025,-74.0011515,257,West 42nd Street,12th Avenue,3,5,"West 42nd Street & 12th Avenue, New York, NY",intersection,36
40.760822,-73.99832,294,West 42nd Street,11th Avenue,3,3,"W 42 St/11 Av, New York, NY",intersection,37
40.7608228,-73.9983142,278,West 42nd Street,11th Avenue,4,3,"W 42 St/11 Av, New York, NY",intersection,38
40.759626,-73.9954735,266,West 42nd Street,10th Avenue,3,5,"West 42nd Street & 10th Avenue, New York, NY",intersection,39
40.7548409,-73.9841185,292,West 42nd Street,6th Avenue,3,5,"West 42nd Street & 6th Avenue, New York, NY",intersection,40
40.7476292,-73.9767362,277,East 37th Street,3rd Avenue,4,5,"Romanian Cultural Institute, East 38th Street, New York, NY",intersection,41
40.7521904,-73.9934636,259,West 34th Street,8th Avenue,3,4,"34 St - Penn Station, New York, NY",intersection,42
40.74478,-73.9758819,298,East 34th Street,2nd Avenue,3,4,"East 34th Street & 2nd Avenue, New York, NY",intersection,43
40.7502939,-73.9948425,284,West 31th Street,8th Avenue,3,4,"Madison Square Garden, Pennsylvania Plaza, New York, NY",intersection,44
40.724136,-73.992615,256,East Houston Street,Bowery,4,3,"East Houston Street & Bowery, New York, NY",intersection,45
40.72032,-73.99404,293,Delancey Street,Bowery,3,3,"Kings Avenue Tattoo, Bowery, NYC, NY",intersection,46
40.7199725,-73.9928968,259,Delancey Street,Chrystie Street,3,3,"Dixon Place, Chrystie Street, New York, NY",intersection,47
40.7193963,-74.0018831,282,Broadway,Canal Street,3,3,"David Lewis, Walker Street, New York, NY",intersection,48
40.696197,-73.9887629,275,Tillary Street,Brooklyn Bridge Boulevard,4,4,"Tillary Street & Adams Street, Brooklyn, NY",intersection,49
40.6840525,-73.9774579,281,Atlantic Avenue,Flatbush Avenue,3,2,"Atlantic Center, Atlantic Avenue, Brooklyn, NY",intersection,50
40.678723,-73.9529869,263,Atlantic Avenue,Bedford Avenue,3,3,"Armory Men’s Shelter, Bedford Avenue, Brooklyn, NY",intersection,51
40.67619,-73.9081,257,Atlantic Avenue,Eastern Parkway,3,3,"Hadi Medical Group - Brooklyn, Eastern Parkway, Brooklyn, NY",intersection,52
40.6761899,-73.9080899,255,Atlantic Avenue,Eastern Parkway,3,3,"Hadi Medical Group - Brooklyn, Eastern Parkway, Brooklyn, NY",intersection,53
40.6781627,-73.8974769,286,Bushwick Avenue,Jamaica Avenue,2,3,"MTA NYCT East New York Yard, Bushwick Avenue, Brooklyn, NY",intersection,54
40.675735,-73.89686,307,Atlantic Avenue,Pennsylvania Avenue,5,3,"Atlantic Avenue & Pennsylvania Avenue, Brooklyn, NY",intersection,55
40.680015,-73.8774282,302,Atlantic Avenue,Logan Street,3,3,"Atlantic Avenue & Milford Street, Brooklyn, NY",intersection,56
40.677654,-73.82866,269,Rockaway Boulevard,,2,,"Rockaway Boulevard & 111th Street, Queens, NY",parking,57
40.66612,-73.82225,266,North Conduit Avenue,Lefferts Boulevard,4,2,"Lefferts Playground, North Conduit Avenue, South Ozone Park, NY",intersection,58
40.6687978,-73.9311201,282,Eastern Parkway,Utica Avenue,2,2,"Eastern Parkway & Utica Avenue, Brooklyn, NY",intersection,59
40.6631828,-73.9624487,284,Flatbush Avenue,Empire Boulevard,2,2,"Flatbush Avenue & Empire Boulevard, Brooklyn, NY",intersection,60
40.8786453,-73.871598,247,East Gun Hill Road,Webster Avenue,3,3,"Webster Avenue & East Gun Hill Road, Bronx, NY",intersection,61
40.87831,-73.870155,241,East Gun Hill Road,Bronx River Parkway,3,2,"Webster Avenue & East Gun Hill Road, Bronx, NY",intersection,62
40.8687708,-73.8317333,239,Bartow Avenue,Baychester Avenue,4,2,"Baychester Avenue & Aldrich Street, Bronx, NY",intersection,63
40.8481201,-73.9308839,228,Washington Bridge,Amsterdam Avenue ,3,3,"Amsterdam Avenue & West 181st Street, New York, NY",intersection,64
40.8133899,-73.9562587,248,West 125th Street,Amsterdam Avenue,3,3,"Amsterdam Avenue & West 125th Street, New York, NY",intersection,65
40.8077723,-73.9454833,234,West 125th Street,Malcolm X Boulevard,3,2,"West 125th Street & Malcolm X Boulevard, New York, NY",intersection,66
40.7629663,-73.9739693,237,East 57th Street,5th Avenue,2,3,"The Blue Box Cafe – 5th Ave, 5th Avenue, New York, NY",intersection,67
40.76155,-73.96659,240,East 59th Street,3rd Avenue,3,4,"E 59 St/3 Av, New York, NY",intersection,68
40.7605353,-73.9583509,233,East 62nd Street,York Avenue,3,2,"York Avenue & East 64th Street, New York, NY",intersection,69
40.7591997,-73.9846193,241,West 47th Street,7th Avenue,2,4,"W New York - Times Square, Broadway, New York, NY",intersection,70
40.758981,-73.9959428,237,West 41st Street,10th Avenue,5,5,"Sts. Cyril & Methodius & St. Raphael's Catholic Church Croatian Parish, West 41st Street, New York, NY",intersection,71
40.7589782,-73.9939358,253,West 42nd Street,Dyer Avenue,2,3,"Sts. Cyril & Methodius & St. Raphael's Catholic Church Croatian Parish, West 41st Street, New York, NY",intersection,72
40.7534818,-73.9808885,230,East 42nd Street,5th Avenue,4,3,"W 42 St/5 Av, New York, NY",intersection,73
40.754584,-73.9991446,239,West 34th Street,10th Avenue,3,4,"West 34th Street & 10th Avenue, New York, NY",intersection,74
40.7457274,-73.9781227,250,East 34th Street,3rd Avenue,3,6,"East 34th Street & 3rd Avenue, New York, NY",intersection,75
40.7429104,-73.9928041,235,West 23rd Street,6th Avenue,2,6,"Poster House, West 23rd Street, New York, NY",intersection,76
40.7373607,-73.996839,236,West 14th Street,6th Avenue,2,6,"6th Avenue & West 15th Street, New York, NY",intersection,77
40.7185558,-73.9882,241,Delancey Street,Essex Street,3,2,"Regal Essex Crossing & RPX, Delancey Street, New York, NY",intersection,78
40.7184302,-74.0005303,253,Canal Street,Lafayette Street,3,3,"Renew Regal Spa, Canal Street, New York, NY",intersection,79
40.748924,-73.937386,246,Jackson Avenue,Queens Plaza South,3,2,"28-30 Jackson Avenue, Long Island City, NY",intersection,80
40.696198,-73.98869,234,Tillary Street,Adams Street,4,3,"Tillary Street & Adams Street, Brooklyn, NY",intersection,81
40.6774132,-73.9303181,243,Atlantic Avenue,Utica Avenue,3,3,"Atlantic Avenue & Utica Avenue, Brooklyn, NY",intersection,82
40.6685062,-73.9256052,228,Eastern Parkway,Buffalo Avenue,5,2,"Eastern Parkway & Buffalo Avenue, Brooklyn, NY",intersection,83
40.658577,-73.89063,249,Linden Boulevard,Pennsylvania Avenue,5,2,"Bethlehem Baptist Church, Linden Boulevard, Brooklyn, NY",intersection,84
40.667114,-73.834656,251,North Conduit Avenue,Hawtree Street,5,2,"Cohancy Street & 155th Avenue, Queens, NY",intersection,85
40.6596509,-73.7738282,238,Rockaway Boulevard,Farmers Boulevard,4,3,"Farmers Boulevard & Rockaway Boulevard, Queens, NY",intersection,86
40.65965,-73.773834,247,Rockaway Boulevard,Farmers Boulevard,4,3,"Farmers Boulevard & Rockaway Boulevard, Queens, NY",intersection,87
40.63396,-74.01476,238,65th Street,7th Avenue,3,3,"East Harbor Seafood Palace, 65th Street, Brooklyn, NY",intersection,88
40.6339615,-74.0147538,231,66th Street,8th Avenue,3,3,"East Harbor Seafood Palace, 65th Street, Brooklyn, NY",intersection,89
40.60981,-73.92251,238,Flatbush Avenue,Avenue U,5,4,"Kings Plaza Shopping Center, Kings Plaza, Brooklyn, NY",intersection,90
40.8617006,-73.8913807,227,East Fordham Road,Webster Avenue,4,3,"Webster Avenue & East 189th Street, Bronx, NY",intersection,91
40.8285193,-73.8411794,215,Bruckner Boulevard,Brush Avenue,3,1,"Bruckner Expressway, Bronx, NY",intersection,92
40.802753,-73.93358,216,East 125th Street,2nd Avenue,3,3,"E 125th St & 2nd Avenue, New York, NY",intersection,93
40.7642781,-73.9730158,219,East 59th Street,5th Avenue,3,3,"William Tecumseh Sherman Monument, Doris C Freedman Place, New York, NY",intersection,94
40.7616096,-73.9707499,220,East 57th Street,Park Avenue,3,4,"Serafina Osteria, East 58th Street, New York, NY",intersection,95
40.7612344,-73.9638843,218,East 60th Street,2nd Avenue,2,5,"Trinity Baptist Church, East 61st Street, New York, NY",intersection,96
40.7611802,-73.9579029,213,East 63rd Street,York Avenue,3,2,"York Avenue & East 64th Street, New York, NY",intersection,97
40.759624,-73.99548,215,West 42nd Street,10th Avenue,3,5,"West 42nd Street & 10th Avenue, New York, NY",intersection,98
40.7585332,-73.9888427,227,West 44th Street,8th Avenue,2,4,"John Golden Theatre, West 45th Street, New York, NY",intersection,99
40.7559505,-73.9907272,227,West 40th Street,8th Avenue,3,5,"Castell Rooftop Lounge, AC Hotel, West 40th Street, New York, NY",intersection,100
40.7514416,-73.9760491,222,East 42nd Street,Lexington Avenue,3,4,"Chrysler Building, New York, NY",intersection,101
40.749824,-73.9722023,226,East 42nd Street,2nd Avenue,3,6,"Church of the Covenant, East 42nd Street, New York, NY",intersection,102
40.7570213,-74.004927,220,West 34th Street,12th Avenue,3,4,"High Line, New York, NY",intersection,103
40.7515235,-73.9939473,224,West 33rd Street,8th Avenue,2,5,"8th Ave & West 33rd Street, New York, NY",intersection,104
40.747627,-73.976746,219,East 37th Street,3rd Avenue,4,5,"Romanian Cultural Institute, East 38th Street, New York, NY",intersection,105
40.74608,-73.974945,221,East 36th Street,2nd Avenue,4,4,"Royal Tuina, East 36th Street, New York, NY",intersection,106
40.7360047,-73.9936167,217,East 14th Street,5th Avenue,2,3,"Parsons School of Design, West 13th Street, New York, NY",intersection,107
40.7332923,-73.9871799,214,East 14th Street,3rd Avenue,3,3,"East 14th Street & 3rd Avenue, New York, NY",intersection,108
40.725432,-73.996771,219,East Houston Street,Broadway,5,3,"David H. Lifschutz, MD, Broadway, New York, NY",intersection,109
40.7225499,-74.006299,218,Canal Street,Varick Street,3,4,"Albert Capsouto Park, Laight Street, New York, NY",intersection,110
